"count" "trt" "gene" "sample"
169.93290701343 "territorial" "LOC115112427" "C01"
220.186176328304 "territorial" "LOC115112427" "C02"
49.858114456483 "territorial" "LOC115112427" "C03"
535.324249484905 "territorial" "LOC115112427" "C04"
72720.9714138127 "territorial" "LOC115112427" "C06"
86.328016849133 "territorial" "LOC115112427" "C07"
351.337448352221 "territorial" "LOC115112427" "C08"
456.184687658244 "territorial" "LOC115112427" "C09"
553.719549928806 "territorial" "LOC115112427" "C10"
76.8896522628442 "territorial" "LOC115112427" "C11"
1184.78409897992 "territorial" "LOC115112427" "C12"
150.163832490351 "territorial" "LOC115112427" "C13"
40.3570807144224 "territorial" "LOC115112427" "C14"
2575.58464424651 "territorial" "LOC115112427" "C15"
44.9455303769107 "social" "LOC115112427" "C16"
122.584640723299 "social" "LOC115112427" "C18"
195.574293372031 "social" "LOC115112427" "C19"
51.3298472129016 "social" "LOC115112427" "C20"
97.7441001972643 "social" "LOC115112427" "C21"
39.1542257870785 "social" "LOC115112427" "C22"
106.753309161533 "social" "LOC115112427" "C23"
56.1924481489398 "social" "LOC115112427" "C24"
80.056204954582 "social" "LOC115112427" "C25"
80.7987135724808 "social" "LOC115112427" "C26"
74.3350956319249 "social" "LOC115112427" "C27"
119.292497300308 "social" "LOC115112427" "C28"
74.4739757875089 "social" "LOC115112427" "C29"
85.1693938656811 "social" "LOC115112427" "C30"
134.432678877283 "territorial" "LOC115112426" "C01"
142.115882261221 "territorial" "LOC115112426" "C02"
50.8654229147785 "territorial" "LOC115112426" "C03"
430.749675563276 "territorial" "LOC115112426" "C04"
52598.3845484886 "territorial" "LOC115112426" "C06"
79.6227030327945 "territorial" "LOC115112426" "C07"
253.624100667915 "territorial" "LOC115112426" "C08"
285.942936370192 "territorial" "LOC115112426" "C09"
381.815170007426 "territorial" "LOC115112426" "C10"
47.6069522287539 "territorial" "LOC115112426" "C11"
847.412410278918 "territorial" "LOC115112426" "C12"
75.6832397956225 "territorial" "LOC115112426" "C13"
21.8189036379468 "territorial" "LOC115112426" "C14"
1852.36145063982 "territorial" "LOC115112426" "C15"
35.2834585558432 "social" "LOC115112426" "C16"
73.1454060502274 "social" "LOC115112426" "C18"
150.374152224853 "social" "LOC115112426" "C19"
36.9280571692461 "social" "LOC115112426" "C20"
54.9842830892474 "social" "LOC115112426" "C21"
33.6321935317816 "social" "LOC115112426" "C22"
79.7545174893403 "social" "LOC115112426" "C23"
44.5149993435169 "social" "LOC115112426" "C24"
69.3840311192112 "social" "LOC115112426" "C25"
55.0619464018139 "social" "LOC115112426" "C26"
43.4925873299816 "social" "LOC115112426" "C27"
68.5044006284372 "social" "LOC115112426" "C28"
42.1103613804738 "social" "LOC115112426" "C29"
59.5921811354233 "social" "LOC115112426" "C30"
1083.25695815249 "territorial" "LOC115112679" "C01"
334.568235077751 "territorial" "LOC115112679" "C02"
174.764363285134 "territorial" "LOC115112679" "C03"
878.926420941688 "territorial" "LOC115112679" "C04"
25417.9857478491 "territorial" "LOC115112679" "C06"
695.17051137267 "territorial" "LOC115112679" "C07"
543.972333786994 "territorial" "LOC115112679" "C08"
737.787584525698 "territorial" "LOC115112679" "C09"
1173.35670119087 "territorial" "LOC115112679" "C10"
490.66693535325 "territorial" "LOC115112679" "C11"
935.984918521954 "territorial" "LOC115112679" "C12"
372.200316372751 "territorial" "LOC115112679" "C13"
119.144333289443 "territorial" "LOC115112679" "C14"
843.017741005736 "territorial" "LOC115112679" "C15"
412.104259577478 "social" "LOC115112679" "C16"
274.938200634193 "social" "LOC115112679" "C18"
525.059532786985 "social" "LOC115112679" "C19"
776.502334116964 "social" "LOC115112679" "C20"
564.65371603803 "social" "LOC115112679" "C21"
417.413435274918 "social" "LOC115112679" "C22"
725.112731331111 "social" "LOC115112679" "C23"
212.490609083061 "social" "LOC115112679" "C24"
521.496122690372 "social" "LOC115112679" "C25"
200.217313244375 "social" "LOC115112679" "C26"
231.351501532727 "social" "LOC115112679" "C27"
219.147060248393 "social" "LOC115112679" "C28"
189.133638258148 "social" "LOC115112679" "C29"
277.439475768999 "social" "LOC115112679" "C30"
1081.64331141903 "territorial" "LOC115116509" "C01"
